sweep_family,problem,beta_update,T,alpha,eta,rho,beta_projection_radius,theta_lr,theta_inner_steps,theta_lambda,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,intended_prob,dataset_path,grid_size,n_states,n_actions,gamma,x0,goal_state,pit_states,terminal_states,num_trajectories,max_steps,seed,device,status,error,solver_success_rate,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,elapsed_seconds,run_idx
main_ablation,deterministic_10grid,projected_gradient,10000,0.001,0.001,1.0,,0.01,10,1e-08,reg_fixed,adam,warm,False,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,10,100,4,0.9,0,99,"18,32,57,61,75","18,32,57,61,75,99",100,50,42,cpu,ok,,0.96,-0.9048156395689254,-0.8951179056426777,0.07514791799398388,1.0,-0.82274123760695,-0.8227412376069501,0.0,3.7699656672140294,-148.33468458777557,6.432750887783943,3.9967829997551134,2747.987594624668,1.3720514656909306,2.109552055854228,0.04903959969732062,1495.2247853178997,299
main_ablation,deterministic_10grid,projected_gradient,10000,0.001,0.0001,1.0,5.0,0.01,10,1e-08,reg_fixed,adam,warm,False,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,10,100,4,0.9,0,99,"18,32,57,61,75","18,32,57,61,75,99",100,50,42,cpu,ok,,0.96,-0.905165689855297,-0.9152421720419002,0.09788869696740726,1.0,-0.82274123760695,-0.8227412376069501,0.0,-25.476639211669664,-269.0491138358147,19.263857519943137,-25.279876527564536,5362.645431319062,2.5929259988250855,10.96152444045879,0.02889590392013185,3352.9580430819187,314
main_ablation,deterministic_10grid,projected_gradient,10000,0.001,0.0003,1.0,,0.01,10,1e-08,reg_fixed,adam,warm,False,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,10,100,4,0.9,0,99,"18,32,57,61,75","18,32,57,61,75,99",100,50,42,cpu,ok,,0.96,-0.9179186506024284,-0.9143563574909565,0.1275867253379227,1.0,-0.82274123760695,-0.8227412376069501,0.0,7.759913669188894,-370.78427796881806,36.09495487262617,7.990457233310604,4676.1674716233365,1.6143216399062315,5.500008579248494,0.036851471700202885,1513.6932938022073,293
main_ablation,deterministic_10grid,projected_gradient,10000,0.001,0.0001,1.0,,0.01,10,1e-08,reg_fixed,adam,warm,False,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,10,100,4,0.9,0,99,"18,32,57,61,75","18,32,57,61,75,99",100,50,42,cpu,ok,,0.95,-0.9153291711020362,-0.9048869113964823,0.09780708542265894,1.0,-0.82274123760695,-0.8227412376069501,0.0,-24.980023257397573,-279.76934485607507,19.616789888656708,-24.780223759517323,5371.404909513817,2.6138460320774475,11.037199218872521,0.028304269515101014,1399.004573630169,287
main_ablation,deterministic_10grid,projected_gradient,10000,0.001,0.0001,1.0,10.0,0.01,10,1e-08,reg_fixed,adam,warm,False,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,10,100,4,0.9,0,99,"18,32,57,61,75","18,32,57,61,75,99",100,50,42,cpu,ok,,0.95,-0.9153291711020362,-0.9048869113964823,0.09780708542265894,1.0,-0.82274123760695,-0.8227412376069501,0.0,-24.980023257397573,-279.76934485607507,19.616789888656708,-24.780223759517323,5371.404909513817,2.6138460320774475,11.037199218872521,0.028304269515101014,1404.0705188498832,291
main_ablation,deterministic_10grid,projected_gradient,10000,0.001,0.0003,1.0,10.0,0.01,10,1e-08,reg_fixed,adam,warm,False,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,10,100,4,0.9,0,99,"18,32,57,61,75","18,32,57,61,75,99",100,50,42,cpu,ok,,0.94,-0.927883885676751,-0.9167315184428142,0.1301783916055677,1.0,-0.82274123760695,-0.8227412376069501,0.0,5.106607997998292,-347.99119821936324,34.0971654691732,5.327787025070626,4663.987599085438,1.562221943429471,5.413299111797811,0.034077791458648615,3896.364584390074,347
main_ablation,deterministic_10grid,projected_gradient,10000,0.001,0.0003,1.0,5.0,0.01,10,1e-08,reg_fixed,adam,warm,False,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,10,100,4,0.9,0,99,"18,32,57,61,75","18,32,57,61,75,99",100,50,42,cpu,ok,,0.93,-0.9270484350595035,-0.92217673260732,0.12603438234121783,1.0,-0.82274123760695,-0.8227412376069501,0.0,-19.87860361927932,-241.3408490732411,30.6742576943268,-19.715565740799452,4649.95847624025,0.7862135829949006,6.900828835731708,0.017521396325435167,1323.6951371079776,294
eta_rho_sweep,deterministic_10grid,fogas_full,10000,0.001,3e-05,0.01,,0.01,10,1e-08,reg_fixed,adam,warm,False,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,10,100,4,0.9,0,99,"18,32,57,61,75","18,32,57,61,75,99",100,50,42,cpu,ok,,0.92,-0.9542465180156077,-0.9486662371264696,0.18378176338662444,1.0,-0.82274123760695,-0.8227412376069501,0.0,2.0473661176686697,-54.03790071216427,-0.40488107930234346,2.2998210183772914,1572.2756423379003,2.955817641302112,2.5861025059717915,0.05016868042364369,1530.3226017318666,325
main_ablation,deterministic_10grid,projected_gradient,10000,0.001,0.001,1.0,10.0,0.01,10,1e-08,reg_fixed,adam,warm,False,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,10,100,4,0.9,0,99,"18,32,57,61,75","18,32,57,61,75,99",100,50,42,cpu,ok,,0.91,-0.9339358802924684,-0.9036854894591294,0.10367311369380258,1.0,-0.82274123760695,-0.8227412376069501,0.0,3.4671986824209178,-155.80948552105957,16.287124347864044,3.600524149281285,2346.3103026837516,1.5845363121270952,2.6953856977481125,0.012489667415640317,1345.6333989049308,297
main_ablation,deterministic_10grid,fogas_diag,10000,0.001,3e-05,0.5,,0.01,10,1e-08,reg_fixed,adam,warm,False,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,10,100,4,0.9,0,99,"18,32,57,61,75","18,32,57,61,75,99",100,50,42,cpu,ok,,0.91,-0.9584181307014397,-0.9573571248890517,0.22984549393026651,1.0,-0.82274123760695,-0.8227412376069501,0.0,2.5609267161624194,-45.10246035646951,1.0407187286517596,2.8022129286378705,1562.234898290398,2.898024427916306,2.3153872421723816,0.05498733437902058,3746.831388978986,278
